data,no1,no2,no3,no4,no5
2014-01-02 23:00:00, 0.497623,0.693234,1.220449,-0.404275,0.287646
2014-01-03 00:00:00, -0.509713,0.215959,0.515596,-0.061757,-0.369931
2014-01-03 01:00:00, -0.390479,-0.689802,-1.706281,1.521138,0.980796
2014-01-03 02:00:00, -0.852131,2.150218,-2.039317,-1.603191,-1.239300
2014-01-03 03:00:00, -0.120514,0.488368,0.257999,0.566665,-0.575547
2014-01-03 04:00:00, -1.333203,1.168917,-2.091583,1.176149,0.875860
2014-01-03 05:00:00, 1.279799,-1.206682,-0.431105,1.372246,-0.334851
2014-01-03 06:00:00, -0.710083,3.003900,-0.193796,0.114605,1.741020
2014-01-03 07:00:00, 1.179676,-0.966159,0.271216,0.407930,-0.668295
2014-01-03 08:00:00, 1.746246,-0.648793,-0.184767,-0.626726,-1.456453
2014-01-03 09:00:00, 1.879400,-0.961341,-0.584872,-0.243087,-2.800159
2014-01-03 10:00:00, 0.768345,-0.582797,1.118110,-0.920571,-2.180203
2014-01-03 11:00:00, 1.006390,-0.536396,-0.065738,0.339226,-0.958174
2014-01-03 12:00:00, -0.517451,0.374220,0.810952,1.015790,0.312167
2014-01-03 13:00:00, 0.295803,-0.543660,1.909760,-2.209680,-0.309692
2014-01-03 14:00:00, -1.483840,0.010580,-0.265450,-1.060341,-0.201775
2014-01-03 15:00:00, -1.909579,0.367435,1.445398,-0.307610,0.709790
2014-01-03 16:00:00, -1.354261,-0.534485,0.906485,0.914389,-0.041705
2014-01-03 17:00:00, -1.307549,-1.053948,-0.962722,1.768548,-0.075625
2014-01-03 18:00:00, -0.831449,-0.317600,1.324459,-1.134677,0.329859
2014-01-03 19:00:00, -0.613413,1.522982,-0.116292,0.338727,0.945624
2014-01-03 20:00:00, 0.426508,-2.068047,-1.097189,-0.138527,-0.450215
2014-01-03 21:00:00, 0.850393,-0.182067,1.091660,-1.391976,0.593077
2014-01-03 22:00:00, 0.052914,2.939198,-1.412212,0.613518,-1.046469
2014-01-03 23:00:00, 0.263097,0.835262,0.205164,0.704573,-0.197388
2014-01-04 00:00:00, 2.171440,0.531758,-1.705121,1.639923,-0.473148
2014-01-04 01:00:00, -1.347470,-1.488311,0.454343,1.126621,-0.537800
2014-01-04 02:00:00, -1.031179,0.164782,-0.504257,1.476961,0.067129
2014-01-04 03:00:00, -0.419610,-0.360120,-0.694230,1.205843,0.681864
2014-01-04 04:00:00, -0.184485,-0.458279,-0.875155,-0.746057,-1.425316
2014-01-04 05:00:00, -0.430407,-0.269058,2.407537,1.421471,-0.309310
2014-01-04 06:00:00, -1.422194,1.725709,0.754049,-0.156995,0.996160
2014-01-04 07:00:00, -0.395963,-0.440574,-1.045008,-0.365667,1.695604
2014-01-04 08:00:00, -2.325074,0.506805,-1.068693,-0.139513,-1.018572
2014-01-04 09:00:00, -0.075281,1.167428,-1.455517,0.577349,-0.413431
2014-01-04 10:00:00, -0.433902,-1.422911,-0.128862,-0.231421,-1.589529
2014-01-04 11:00:00, 0.892242,-0.888008,-1.414594,0.211117,1.216527
2014-01-04 12:00:00, -0.785670,2.639231,-0.821050,0.847337,-0.927764
2014-01-04 13:00:00, -0.040797,0.356398,-1.261978,1.395584,-0.638984
2014-01-04 14:00:00, 0.200413,-0.704253,0.611242,-1.635502,-0.675690
2014-01-04 15:00:00, -1.387603,0.039678,0.598136,-0.030563,1.784554
2014-01-04 16:00:00, 1.168057,-1.132127,0.494321,0.114999,0.127206
2014-01-04 17:00:00, -0.097511,0.246007,-0.119537,-0.785771,-0.761479
2014-01-04 18:00:00, -0.879220,0.895077,-0.427335,-1.761151,0.508362
2014-01-04 19:00:00, 0.908352,1.199708,-0.921365,-0.588372,-0.120164
2014-01-04 20:00:00, -0.569918,0.824624,-0.774150,0.993835,-1.263337
2014-01-04 21:00:00, -0.025219,2.979134,0.608167,-0.790991,-0.100430
2014-01-04 22:00:00, -1.917036,0.500345,1.782852,0.596316,-0.307149
2014-01-04 23:00:00, -0.851521,-0.044628,-0.400169,0.527363,0.719150
2014-01-05 00:00:00, 2.894688,-3.505030,-0.053815,0.068916,-0.547884
2014-01-05 01:00:00, -0.184697,0.798480,-0.633322,-0.107762,-1.341395
2014-01-05 02:00:00, -1.103454,-0.218850,2.258495,-1.005886,-1.016517
2014-01-05 03:00:00, 0.625400,-0.981476,0.360889,0.503847,1.003927
2014-01-05 04:00:00, -0.733912,-0.271990,1.161066,-1.489994,0.788852
2014-01-05 05:00:00, -0.241392,1.726404,-0.691438,-0.393785,-0.096917
2014-01-05 06:00:00, 1.359857,-2.128980,-0.928078,-0.093956,-2.253296
2014-01-05 07:00:00, -1.821948,-0.546336,0.736700,0.290820,1.267153
2014-01-05 08:00:00, -0.572693,-1.027713,-1.970193,0.341162,-2.023286
2014-01-05 09:00:00, 0.400090,-0.651609,1.013096,-1.203428,0.393334
2014-01-05 10:00:00, 0.433089,-1.215000,0.437002,1.334933,0.918041
2014-01-05 11:00:00, -1.963518,1.120561,-0.977620,-0.449088,-0.454950
2014-01-05 12:00:00, -0.765529,0.496237,0.421324,0.449532,-0.369813
2014-01-05 13:00:00, -0.399179,0.575954,0.775574,0.013633,0.366428
2014-01-05 14:00:00, 0.236616,-1.346910,1.448520,0.709293,0.092487
2014-01-05 15:00:00, 1.792784,1.449571,1.094913,-0.133965,1.624958
2014-01-05 16:00:00, 0.229872,0.020624,-1.280160,1.560141,0.649594
2014-01-05 17:00:00, -1.840836,-0.961276,-1.277333,-1.888781,-0.570522
2014-01-05 18:00:00, -0.139271,-1.230502,-0.269188,-1.483470,0.586763
2014-01-05 19:00:00, 0.966204,-0.319745,-0.102710,1.262974,-0.255650
2014-01-05 20:00:00, 0.812553,0.145071,1.206226,0.140724,0.306155
2014-01-05 21:00:00, 0.140084,-0.274564,0.028353,0.861416,-0.539749
2014-01-05 22:00:00, 0.637375,0.829694,-0.295165,-1.710151,0.217241
2014-01-05 23:00:00, -0.468716,0.032342,-0.017449,-1.903874,0.742996
2014-01-06 00:00:00, -0.414073,0.768079,0.179570,-1.197833,-0.594920
2014-01-06 01:00:00, -2.460953,-0.020515,-0.696697,-0.140454,-0.970095
2014-01-06 02:00:00, -1.485029,-0.099805,-0.513537,2.211760,1.434649
2014-01-06 03:00:00, 0.419419,0.559514,-0.611467,0.373665,0.739570
2014-01-06 04:00:00, -0.190932,-0.357305,1.582636,1.261590,1.454298
2014-01-06 05:00:00, -1.746199,0.265123,0.716169,1.345551,0.587191
2014-01-06 06:00:00, -0.283514,-0.287399,0.923600,-0.021682,0.559939
2014-01-06 07:00:00, 0.061271,-0.366656,-1.586949,-0.032684,0.140722
2014-01-06 08:00:00, -1.207146,-0.045039,-0.674768,0.851041,0.336457
2014-01-06 09:00:00, -0.370698,-0.680152,0.651105,1.425298,-0.200182
2014-01-06 10:00:00, -0.980696,-1.133614,0.325642,0.594777,0.557550
2014-01-06 11:00:00, 0.964410,0.239236,0.308373,0.943277,-0.275881
2014-01-06 12:00:00, 1.218346,1.200780,-0.370283,0.046889,1.115164
2014-01-06 13:00:00, 0.803073,1.593373,0.299885,0.159747,1.269816
2014-01-06 14:00:00, 0.842058,-0.786052,1.300226,0.324957,0.678158
2014-01-06 15:00:00, 0.069279,1.173119,-0.307857,-2.225053,0.220319
2014-01-06 16:00:00, 1.707907,-1.610232,0.667283,-1.177285,0.422501
2014-01-06 17:00:00, -0.079123,0.974409,0.046273,-0.981768,-1.306092
2014-01-06 18:00:00, -1.204950,-0.048592,-0.422862,1.569290,-0.242279
2014-01-06 19:00:00, -0.917748,-1.000674,0.266596,-0.697909,-1.107524
2014-01-06 20:00:00, -0.048759,-0.764602,-0.085517,-0.892173,-0.010266
2014-01-06 21:00:00, -0.402080,-0.421352,-1.309547,1.287423,-1.620697
2014-01-06 22:00:00, -2.056856,-0.738222,0.269985,0.150599,-0.907198
2014-01-06 23:00:00, -1.256040,2.808664,-0.925150,-0.578220,-0.912703
2014-01-07 00:00:00, -0.506885,-0.049854,0.740557,1.230217,-0.897100
2014-01-07 01:00:00, 0.121382,0.609849,-0.670395,1.169235,-2.147924
2014-01-07 02:00:00, 0.602801,0.323219,-0.162749,1.072518,-0.383887
2014-01-07 03:00:00, -0.772562,1.290443,0.417776,-1.273044,0.445232
2014-01-07 04:00:00, -0.294354,1.960751,1.573747,0.864303,-0.662090
2014-01-07 05:00:00, -1.921571,0.564581,0.336999,0.640516,1.039117
2014-01-07 06:00:00, -0.299967,-1.373352,0.577018,-0.264527,-1.764955
2014-01-07 07:00:00, 0.962968,1.075530,0.913872,-0.391114,0.840402
2014-01-07 08:00:00, -2.221302,-0.426905,-0.499180,-0.354703,1.388224
2014-01-07 09:00:00, -0.096297,0.951452,0.681718,-0.335230,-1.353681
2014-01-07 10:00:00, -2.098222,0.738772,0.210481,1.427133,-1.897067
2014-01-07 11:00:00, -1.179239,1.250122,0.299217,-1.368165,0.144441
2014-01-07 12:00:00, -0.236555,0.118596,1.005695,-2.114985,1.614649
2014-01-07 13:00:00, 0.205301,0.086534,3.131300,-1.492518,0.859203
2014-01-07 14:00:00, -1.339822,0.997160,-0.757747,-2.298256,-1.693696
2014-01-07 15:00:00, 1.064917,-0.552134,-0.874635,-0.586865,0.482110
2014-01-07 16:00:00, -0.213725,0.857603,-1.696301,-0.530622,1.101410
2014-01-07 17:00:00, 0.937154,-0.208192,-0.209959,-0.002501,-0.748391
2014-01-07 18:00:00, 0.459771,-1.021615,-1.668341,-0.085441,-0.709403
2014-01-07 19:00:00, -1.027174,1.505470,0.822044,-0.209444,-0.298099
2014-01-07 20:00:00, -0.406955,-0.076781,-0.444525,0.161544,-0.718268
2014-01-07 21:00:00, 0.713980,-2.918748,-1.288413,-0.460347,-0.852958
2014-01-07 22:00:00, 0.256964,-0.594284,0.784699,-0.489887,-0.293732
2014-01-07 23:00:00, -0.551500,-0.427662,1.566615,-0.590294,-0.872785
2014-01-08 00:00:00, -0.391938,-1.657326,0.372234,-0.280841,1.142157
2014-01-08 01:00:00, -0.282674,-0.159147,0.151261,0.278122,0.543364
2014-01-08 02:00:00, -0.027377,-0.726434,0.234115,-0.699723,0.754937
2014-01-08 03:00:00, -0.464792,-0.865877,0.107626,-1.250024,0.068998
2014-01-08 04:00:00, -1.210723,1.587120,1.593623,-0.385718,-1.118905
2014-01-08 05:00:00, 1.042950,1.820603,1.874191,0.078391,-0.775383
2014-01-08 06:00:00, 0.656583,-0.785970,-0.278979,0.579455,1.162447
2014-01-08 07:00:00, 0.620766,0.462198,-0.877509,-0.352209,-0.704184
2014-01-08 08:00:00, 0.058320,-1.237638,1.474209,0.812949,-0.326893
2014-01-08 09:00:00, 0.807053,0.419171,-0.662114,-0.508983,1.784400
2014-01-08 10:00:00, -0.056657,-0.508682,-2.109559,-0.381437,0.831236
2014-01-08 11:00:00, -1.731670,1.080310,-0.507917,-1.017157,-1.113017
2014-01-08 12:00:00, -0.133706,-0.418302,-1.722334,-1.854259,-0.311485
2014-01-08 13:00:00, 0.701321,-0.388057,1.566359,1.089973,-0.097484
2014-01-08 14:00:00, 1.072907,0.208382,0.809162,-0.149917,-0.539833
2014-01-08 15:00:00, -1.666066,2.265775,0.395017,0.913209,0.321553
2014-01-08 16:00:00, -1.160176,0.682857,3.155955,1.248266,1.363358
2014-01-08 17:00:00, 1.105670,-0.950877,-1.166606,-0.152305,1.029023
2014-01-08 18:00:00, 0.833628,-0.023459,0.436813,-0.381748,1.055514
2014-01-08 19:00:00, -1.691390,2.123123,-0.736588,-0.851979,-0.295115
2014-01-08 20:00:00, -0.517501,-0.751802,-0.687166,-0.077114,1.440070
2014-01-08 21:00:00, -0.380955,-0.144746,-0.599625,0.958400,0.022256
2014-01-08 22:00:00, 2.738191,1.038012,-0.331596,0.517671,-0.191840
2014-01-08 23:00:00, 1.689705,1.619736,1.221160,0.631109,-1.701141
2014-01-09 00:00:00, 0.170347,0.901302,-1.054307,-0.216506,-0.531307
2014-01-09 01:00:00, 0.708637,-0.481216,0.099010,-0.466016,0.393961
2014-01-09 02:00:00, -0.737437,-0.509344,0.287392,1.320918,0.538225
2014-01-09 03:00:00, -0.157511,-0.713335,-0.141512,0.558892,0.296473
2014-01-09 04:00:00, 1.041089,-0.130712,-0.370351,-1.788762,-1.334993
2014-01-09 05:00:00, 0.235662,0.130454,-0.278788,-0.630415,-0.180329
2014-01-09 06:00:00, -1.582020,0.670150,-0.957749,-1.349351,-1.894133
2014-01-09 07:00:00, 0.126004,0.606984,-0.704888,-0.854522,1.372657
2014-01-09 08:00:00, 0.522158,0.027853,-2.121862,-1.401230,0.578765
2014-01-09 09:00:00, -0.580435,-0.549839,0.384691,0.091479,0.725244
2014-01-09 10:00:00, -0.606021,-0.376439,0.004585,0.626188,1.088986
2014-01-09 11:00:00, -0.833842,-1.094495,-0.172322,0.187123,-0.434594
2014-01-09 12:00:00, -0.114867,-0.433410,0.986479,1.737393,1.311643
2014-01-09 13:00:00, -0.578822,0.103515,-0.989241,0.170009,-0.819439
2014-01-09 14:00:00, 0.611148,-1.635810,-0.907247,-0.893064,-0.617369
2014-01-09 15:00:00, -0.078891,1.061151,0.256016,1.157982,-0.315733
2014-01-09 16:00:00, 1.718045,-0.384967,-0.348435,-0.198790,1.309399
2014-01-09 17:00:00, 0.615805,0.405941,-1.785739,-1.309815,-0.761246
2014-01-09 18:00:00, -1.015861,0.787053,1.123708,-0.624008,0.363536
2014-01-09 19:00:00, -0.146683,-0.051836,1.329000,0.384890,0.406628
2014-01-09 20:00:00, 0.154358,0.382256,2.156346,-1.190379,-0.165574
2014-01-09 21:00:00, 2.364624,-1.051938,-1.494603,-0.925480,-0.309294
2014-01-09 22:00:00, -0.855087,0.875877,-1.180809,1.411986,0.346545
2014-01-09 23:00:00, 0.154375,-0.130848,0.119489,0.218800,-0.336945
2014-01-10 00:00:00, 1.312708,-1.685103,-0.265050,-0.428595,-1.143757
2014-01-10 01:00:00, 1.988165,-0.020041,1.089237,1.218046,-1.022807
2014-01-10 02:00:00, 1.904772,0.324210,0.631345,-2.054117,-1.135974
2014-01-10 03:00:00, -0.941078,0.851628,-0.696969,0.803475,-0.336879
2014-01-10 04:00:00, 0.683771,-1.018904,0.994273,-0.651454,0.006531
2014-01-10 05:00:00, -0.480830,-1.154793,0.954590,-0.070822,-0.554922
2014-01-10 06:00:00, -0.865980,1.544567,-1.343859,-0.669178,0.504541
2014-01-10 07:00:00, 0.965457,0.685455,0.839407,-0.256345,0.523928
2014-01-10 08:00:00, -1.355817,0.546154,-0.000517,0.879232,-0.410276
2014-01-10 09:00:00, -0.190348,-0.516398,-0.641364,0.327524,0.272814
2014-01-10 10:00:00, -0.036443,-0.362802,0.399467,-0.386329,1.123027
2014-01-10 11:00:00, 0.884422,-1.756462,-1.084899,-0.518425,-1.226334
2014-01-10 12:00:00, 0.311249,-0.673948,-2.343869,-0.531215,-1.214648
2014-01-10 13:00:00, -0.324902,0.045103,-0.631941,-0.364926,-0.606633
2014-01-10 14:00:00, -0.466251,-0.112282,0.184867,-0.614221,0.287732
2014-01-10 15:00:00, -1.991746,-0.311598,0.757325,-1.177278,-1.336489
2014-01-10 16:00:00, 1.281500,0.113102,0.420212,-0.697565,-0.764863
2014-01-10 17:00:00, 1.064392,0.645693,-0.699513,0.367374,-0.531713
2014-01-10 18:00:00, 0.984394,-0.429612,1.300187,-2.616791,-0.610311
2014-01-10 19:00:00, 1.019156,-1.552625,-2.063210,0.618515,0.173925
2014-01-10 20:00:00, 0.333242,-1.523327,1.933793,0.728448,0.760645
2014-01-10 21:00:00, 0.986928,0.998049,0.788233,0.925492,-0.567554
2014-01-10 22:00:00, 0.154659,-1.465025,-0.799385,-2.477219,1.056658
2014-01-10 23:00:00, 1.720356,1.144728,1.698900,1.023256,-1.534041
2014-01-11 00:00:00, -0.090557,-0.765218,-0.880531,1.995657,0.222176
2014-01-11 01:00:00, -0.443606,-0.212672,0.654729,0.534737,0.099110
2014-01-11 02:00:00, -0.324692,-0.070430,0.650986,-1.277971,1.044128
2014-01-11 03:00:00, -1.984149,-0.858677,0.094111,-0.166856,0.442162
2014-01-11 04:00:00, 0.631225,0.319823,-0.782088,1.117465,-0.395840
2014-01-11 05:00:00, 1.858648,0.583867,0.868064,1.056373,-1.172717
2014-01-11 06:00:00, 1.627375,-0.214498,-1.248930,-0.566665,-0.508841
2014-01-11 07:00:00, -0.869930,-0.568603,-0.488398,1.013973,0.011886
2014-01-11 08:00:00, -1.411119,0.226937,-0.827524,0.385247,-0.518366
2014-01-11 09:00:00, -0.153378,-0.042553,-0.105942,0.223886,0.468618
2014-01-11 10:00:00, 0.271351,-1.064263,0.595292,0.265098,0.571293
2014-01-11 11:00:00, -0.647428,0.165886,-1.149157,0.150566,0.512857
2014-01-11 12:00:00, -1.623137,0.195134,-0.278393,1.219472,-0.045048
2014-01-11 13:00:00, 0.503487,-0.370822,0.110702,0.991615,0.809832
2014-01-11 14:00:00, -0.274512,2.905271,-0.954286,-0.127394,-1.014026
2014-01-11 15:00:00, 1.183380,-0.149277,0.232284,1.260179,2.592133
2014-01-11 16:00:00, -1.556919,1.616551,0.957930,0.372763,0.357593
2014-01-11 17:00:00, 1.481396,0.941425,-0.883831,0.360039,-0.827977
2014-01-11 18:00:00, -0.785926,1.621916,1.444152,-0.680685,-1.158560
2014-01-11 19:00:00, -1.367566,0.205448,0.745482,1.530638,-1.529692
2014-01-11 20:00:00, -0.160143,0.498253,-0.839790,-0.504457,0.645011
2014-01-11 21:00:00, 0.286026,-1.432231,-1.213215,-0.974674,0.982678
2014-01-11 22:00:00, -0.012402,0.764516,0.491341,-2.183524,1.367627
2014-01-11 23:00:00, 1.812991,1.813475,1.055826,-1.414359,1.227799
2014-01-12 00:00:00, -0.896433,-0.821421,-1.594448,-0.451645,0.363980
2014-01-12 01:00:00, 0.186828,0.254490,0.414621,1.377278,1.579266
2014-01-12 02:00:00, -0.985705,0.895787,0.333494,-1.637235,0.642937
2014-01-12 03:00:00, 2.439326,-1.324772,-1.595282,0.907984,0.132727
2014-01-12 04:00:00, -0.712423,-0.638417,-0.053085,-0.241930,-0.241727
2014-01-12 05:00:00, -0.153222,-1.374049,0.455217,1.793479,-0.039616
2014-01-12 06:00:00, -0.754222,0.702886,-1.162893,0.416635,1.859090
2014-01-12 07:00:00, 0.199593,1.140338,-2.953679,-1.893768,0.046096
2014-01-12 08:00:00, -0.545632,1.018589,-0.161474,-1.084724,-0.877053
2014-01-12 09:00:00, 0.380927,-0.644409,-0.871414,-0.178825,0.121330
2014-01-12 10:00:00, -0.468769,0.872837,-0.723117,0.478329,-0.817533
2014-01-12 11:00:00, -0.595198,-0.299700,1.464497,1.846643,0.901938
2014-01-12 12:00:00, -0.462979,1.630037,1.126781,0.291529,-0.865543
2014-01-12 13:00:00, -0.465043,1.391356,-0.037798,0.265175,-0.405774
2014-01-12 14:00:00, -1.860397,-0.181938,-1.085764,1.080767,-1.311781
2014-01-12 15:00:00, -0.356910,-0.153565,-1.482206,0.139177,0.974910
2014-01-12 16:00:00, 0.502318,0.797307,1.517578,0.069017,0.166745
2014-01-12 17:00:00, 0.289246,0.661290,0.972238,0.171001,-0.636901
2014-01-12 18:00:00, -1.031576,2.281258,0.364861,0.796073,0.838618
2014-01-12 19:00:00, -0.664394,-1.700720,-0.255299,-0.329525,-0.755117
2014-01-12 20:00:00, 0.669810,-0.714118,-1.306336,-2.051095,-0.303906
2014-01-12 21:00:00, 0.499117,0.144317,-0.887480,-0.016659,-0.948617
2014-01-12 22:00:00, -0.218513,2.000546,-1.016838,-1.460243,-0.284785
2014-01-12 23:00:00, 0.303314,0.271574,-0.002124,0.413010,0.382841
2014-01-13 00:00:00, 0.779141,-1.689248,3.537760,-0.606671,0.115372
2014-01-13 01:00:00, 0.935773,-0.114455,0.691022,-0.396384,-0.064027
2014-01-13 02:00:00, -0.814068,0.758504,-1.749431,-0.213849,2.245489
2014-01-13 03:00:00, 0.526875,-1.218533,-3.009160,-2.479405,0.192484
2014-01-13 04:00:00, 0.435340,0.006481,1.238216,2.097823,1.136171
2014-01-13 05:00:00, 0.065999,-0.244298,2.408874,-1.428091,0.594894
2014-01-13 06:00:00, -0.217064,-0.398137,-0.907960,-1.602398,-0.856027
2014-01-13 07:00:00, 1.044965,0.506856,0.460083,0.354529,0.444086
2014-01-13 08:00:00, 0.025602,-1.486683,0.375935,2.065858,-0.483097
2014-01-13 09:00:00, -0.987188,-1.193378,-1.101666,-0.921271,0.804586
2014-01-13 10:00:00, 0.824428,1.925263,0.869583,0.114675,0.252232
2014-01-13 11:00:00, 0.325326,-1.210678,0.239926,0.892895,-1.333994
2014-01-13 12:00:00, -1.151557,-1.925017,0.824938,-0.660840,-0.479933
2014-01-13 13:00:00, 0.110416,-0.418999,1.127893,1.217717,0.023299
2014-01-13 14:00:00, -0.256724,-1.753577,-0.076595,0.330819,0.523866
2014-01-13 15:00:00, 0.116029,0.719227,-0.973274,1.179508,-0.405477
2014-01-13 16:00:00, -0.213684,0.888833,0.321787,-0.431344,0.205869
2014-01-13 17:00:00, 0.723356,1.784448,1.746183,0.015846,0.967951
2014-01-13 18:00:00, -0.971672,-0.438790,0.702443,1.433541,1.332216
2014-01-13 19:00:00, 0.724516,1.935434,-1.449532,-0.312026,0.272882
2014-01-13 20:00:00, 0.530642,0.571042,-0.442459,-1.513229,2.109062
2014-01-13 21:00:00, 0.219107,-0.619285,0.250387,-0.594125,-1.579732
2014-01-13 22:00:00, 0.118356,1.295173,0.368838,-0.638215,-1.706649
2014-01-13 23:00:00, 0.175837,-0.781119,-0.086360,0.225004,2.175069
2014-01-14 00:00:00, 0.355768,-1.645026,0.160236,-1.241469,-0.387998
2014-01-14 01:00:00, 0.593320,-1.149741,0.183324,-0.711228,2.226151
2014-01-14 02:00:00, 1.586464,-1.346022,-0.314778,1.018021,1.133107
2014-01-14 03:00:00, 0.411034,-0.281042,0.702478,-0.312151,-0.702734
2014-01-14 04:00:00, -0.139934,-0.004469,0.453130,0.724589,-0.058986
2014-01-14 05:00:00, 0.447730,-0.717355,-1.434985,0.638811,-0.917516
2014-01-14 06:00:00, 1.075443,-0.852165,-1.358737,-0.522649,0.294678
2014-01-14 07:00:00, 1.326845,0.905032,1.055677,0.721738,0.452227
2014-01-14 08:00:00, 0.818616,-0.335099,0.301286,-0.076504,1.570291
2014-01-14 09:00:00, -0.288298,0.337446,-1.501012,1.650517,0.665236
2014-01-14 10:00:00, 0.159825,-0.572630,0.756376,-0.505794,0.510692
2014-01-14 11:00:00, 0.291166,-1.600644,-0.683591,0.672396,0.122634
2014-01-14 12:00:00, 0.053774,0.272140,0.191808,-1.999867,0.177880
2014-01-14 13:00:00, 0.810927,1.572753,-2.041377,-1.560857,0.711139
2014-01-14 14:00:00, 1.033754,-0.778876,1.275148,1.432286,-0.181843
2014-01-14 15:00:00, 0.990777,-0.205603,-1.331083,-0.003469,0.104550
2014-01-14 16:00:00, 0.961771,-0.319742,-0.940078,0.620746,-0.240299
2014-01-14 17:00:00, -0.125239,-0.634362,2.513547,-0.194178,1.560742
2014-01-14 18:00:00, 1.459398,0.678494,0.374892,0.051438,-0.523064
2014-01-14 19:00:00, -0.028697,1.107629,0.211174,-0.670429,0.244677
2014-01-14 20:00:00, 0.356855,-0.070186,0.705589,2.058112,0.636071
2014-01-14 21:00:00, -0.539863,0.631583,1.041037,0.452371,-1.003938
2014-01-14 22:00:00, -0.210879,0.055422,0.202989,-1.498395,0.882632
2014-01-14 23:00:00, -1.707167,-0.130354,0.468066,0.569221,0.438086
2014-01-15 00:00:00, -0.653866,1.013319,-0.812871,1.431366,0.402899
2014-01-15 01:00:00, -1.400476,-0.410171,-1.473192,1.341097,0.590896
2014-01-15 02:00:00, 0.609231,-1.204953,0.303816,-0.671442,-0.338164
2014-01-15 03:00:00, -1.309621,-0.161786,1.881556,-1.994527,-0.679174
